job_title,experience_level,salary_in_usd,remote_ratio,company_size,cluster,cluster_label,pca_x,pca_y
DATA ENGINEER,SE,253200,0,M,1,Senior ML Engineers,0.6347,-1.1778
DATA ENGINEER,SE,90700,0,M,1,Senior ML Engineers,1.175,-0.3992
COMPUTER VISION ENGINEER,SE,184590,0,M,3,Business Intelligence,-1.2806,-1.1244
DATA ENGINEER,MI,162500,0,M,1,Senior ML Engineers,1.0165,-0.4215
DATA ENGINEER,MI,130000,0,M,1,Senior ML Engineers,1.1246,-0.2658
DATA ANALYST,MI,105380,0,M,1,Senior ML Engineers,2.3973,-0.4019
DATA ANALYST,MI,64500,0,M,1,Senior ML Engineers,2.5332,-0.2061
DATA QUALITY ANALYST,EN,100000,100,L,1,Senior ML Engineers,1.4702,0.941
COMPLIANCE DATA ANALYST,EN,30000,100,L,1,Senior ML Engineers,2.8868,0.9146
MACHINE LEARNING ENGINEER,MI,20984,50,L,3,Business Intelligence,-1.334,1.4289
APPLIED SCIENTIST,EN,204620,0,L,3,Business Intelligence,-1.1065,-0.2552
APPLIED SCIENTIST,EN,110680,0,L,3,Business Intelligence,-0.7942,0.1949
DATA ENGINEER,SE,270703,0,M,1,Senior ML Engineers,0.5765,-1.2616
DATA ENGINEER,SE,221484,0,M,1,Senior ML Engineers,0.7402,-1.0258
DATA SCIENTIST,SE,212750,100,M,0,Entry-Level Analysts,-1.0531,0.9815
DATA SCIENTIST,SE,185000,100,M,0,Entry-Level Analysts,-0.9608,1.1145
DATA SCIENTIST,SE,262000,100,M,0,Entry-Level Analysts,-1.2169,0.7456
DATA SCIENTIST,SE,245000,100,M,0,Entry-Level Analysts,-1.1603,0.827
DATA SCIENTIST,SE,275300,100,M,0,Entry-Level Analysts,-1.2611,0.6818
DATA SCIENTIST,SE,183500,100,M,0,Entry-Level Analysts,-0.9558,1.1217
DATA SCIENTIST,SE,218500,100,M,0,Entry-Level Analysts,-1.0722,0.954
DATA SCIENTIST,SE,199098,100,M,0,Entry-Level Analysts,-1.0077,1.0469
DATA ENGINEER,SE,203300,100,M,1,Senior ML Engineers,0.879,-0.6268
DATA ENGINEER,SE,123600,100,M,1,Senior ML Engineers,1.144,-0.2449
RESEARCH ENGINEER,SE,189110,0,M,2,Cloud & Data Platform,-2.1891,-2.9468
RESEARCH ENGINEER,SE,139000,0,M,2,Cloud & Data Platform,-2.0225,-2.7068
DATA SCIENTIST,EX,258750,0,M,0,Entry-Level Analysts,-1.124,1.0927
DATA SCIENTIST,EX,185000,0,M,0,Entry-Level Analysts,-0.8788,1.446
DATA ENGINEER,SE,231500,100,M,1,Senior ML Engineers,0.7852,-0.7619
DATA ENGINEER,SE,166000,100,M,1,Senior ML Engineers,1.003,-0.4481
DATA SCIENTIST,SE,172500,100,M,0,Entry-Level Analysts,-0.9192,1.1744
DATA SCIENTIST,SE,110500,100,M,0,Entry-Level Analysts,-0.7131,1.4714
DATA ENGINEER,SE,238000,0,M,1,Senior ML Engineers,0.6852,-1.105
DATA ENGINEER,SE,176000,0,M,1,Senior ML Engineers,0.8914,-0.8079
DATA ENGINEER,SE,237000,100,M,1,Senior ML Engineers,0.7669,-0.7883
DATA ENGINEER,SE,201450,100,M,1,Senior ML Engineers,0.8852,-0.6179
APPLIED SCIENTIST,SE,309400,0,L,3,Business Intelligence,-1.6956,-1.7224
APPLIED SCIENTIST,SE,159100,0,L,3,Business Intelligence,-1.1958,-1.0023
DATA ENGINEER,SE,115000,0,M,1,Senior ML Engineers,1.0942,-0.5157
DATA ENGINEER,SE,81500,0,M,1,Senior ML Engineers,1.2056,-0.3552
DATA SCIENTIST,SE,237000,100,M,0,Entry-Level Analysts,-1.1337,0.8653
DATA SCIENTIST,SE,201450,100,M,0,Entry-Level Analysts,-1.0155,1.0357
COMPUTER VISION ENGINEER,SE,280000,0,M,3,Business Intelligence,-1.5979,-1.5815
COMPUTER VISION ENGINEER,SE,210000,0,M,3,Business Intelligence,-1.3651,-1.2462
DATA ARCHITECT,SE,280100,100,M,3,Business Intelligence,-1.5198,-1.2701
DATA ARCHITECT,SE,168100,100,M,3,Business Intelligence,-1.1474,-0.7335
DATA ENGINEER,SE,193500,100,M,1,Senior ML Engineers,0.9116,-0.5798
DATA ENGINEER,SE,139000,100,M,1,Senior ML Engineers,1.0928,-0.3187
DATA SCIENTIST,MI,65062,0,L,0,Entry-Level Analysts,-0.5602,1.6989
MACHINE LEARNING ENGINEER,SE,150000,100,M,3,Business Intelligence,-1.804,0.645
APPLIED MACHINE LEARNING ENGINEER,MI,69751,100,S,3,Business Intelligence,-1.4569,1.3512
AI DEVELOPER,EN,300000,50,L,3,Business Intelligence,-2.1013,0.7356
MACHINE LEARNING ENGINEER,MI,96578,100,L,3,Business Intelligence,-1.5462,1.2227
BUSINESS INTELLIGENCE ENGINEER,SE,185900,0,M,3,Business Intelligence,-1.285,-1.1307
BUSINESS INTELLIGENCE ENGINEER,SE,129300,0,M,3,Business Intelligence,-1.0967,-0.8595
DATA ENGINEER,SE,225000,100,M,1,Senior ML Engineers,0.8069,-0.7308
DATA ENGINEER,SE,175000,100,M,1,Senior ML Engineers,0.9731,-0.4912
DATA ENGINEER,SE,185000,0,M,1,Senior ML Engineers,0.8615,-0.851
DATA ENGINEER,SE,140000,0,M,1,Senior ML Engineers,1.0111,-0.6354
DATA SCIENTIST,SE,48289,0,M,0,Entry-Level Analysts,-0.5846,1.4576
DATA SCIENTIST,SE,38631,0,M,0,Entry-Level Analysts,-0.5525,1.5038
DATA SCIENTIST,SE,105000,0,M,0,Entry-Level Analysts,-0.7732,1.1858
DATA SCIENTIST,SE,70000,0,M,0,Entry-Level Analysts,-0.6568,1.3535
MACHINE LEARNING ENGINEER,EN,163196,0,M,3,Business Intelligence,-1.6856,1.235
MACHINE LEARNING ENGINEER,EN,145885,0,M,3,Business Intelligence,-1.6281,1.318
DATA ENGINEER,SE,217000,100,M,1,Senior ML Engineers,0.8335,-0.6924
DATA ENGINEER,SE,185000,100,M,1,Senior ML Engineers,0.9399,-0.5391
DATA ANALYST,SE,202800,0,L,1,Senior ML Engineers,1.9931,-1.1904
DATA ANALYST,SE,104300,0,L,1,Senior ML Engineers,2.3207,-0.7185
DATA ANALYST,SE,145000,0,M,1,Senior ML Engineers,2.1853,-0.9135
DATA ANALYST,SE,65000,0,M,1,Senior ML Engineers,2.4514,-0.5302
DATA ENGINEER,SE,165000,0,M,1,Senior ML Engineers,0.928,-0.7552
DATA ENGINEER,SE,132300,0,M,1,Senior ML Engineers,1.0367,-0.5985
DATA ENGINEER,SE,179170,0,M,1,Senior ML Engineers,0.8809,-0.8231
DATA ENGINEER,SE,94300,0,M,1,Senior ML Engineers,1.1631,-0.4165
ANALYTICS ENGINEER,SE,152500,0,M,2,Cloud & Data Platform,-2.0674,-2.7714
ANALYTICS ENGINEER,SE,116450,0,M,2,Cloud & Data Platform,-1.9475,-2.5987
DATA ENGINEER,SE,247300,0,M,1,Senior ML Engineers,0.6543,-1.1495
DATA ENGINEER,SE,133800,0,M,1,Senior ML Engineers,1.0317,-0.6057
RESEARCH ENGINEER,SE,203000,0,M,2,Cloud & Data Platform,-2.2353,-3.0134
RESEARCH ENGINEER,SE,133000,0,M,2,Cloud & Data Platform,-2.0026,-2.678
RESEARCH SCIENTIST,EN,220000,50,L,2,Cloud & Data Platform,-2.012,-1.9737
MACHINE LEARNING ENGINEER,EN,56536,100,S,3,Business Intelligence,-1.2526,2.058
DATA SCIENTIST,SE,120000,0,M,0,Entry-Level Analysts,-0.8231,1.114
ANALYTICS ENGINEER,SE,289800,0,M,2,Cloud & Data Platform,-2.524,-3.4292
ANALYTICS ENGINEER,SE,214000,0,M,2,Cloud & Data Platform,-2.2719,-3.0661
ANALYTICS ENGINEER,SE,179820,0,M,2,Cloud & Data Platform,-2.1582,-2.9023
ANALYTICS ENGINEER,SE,143860,0,M,2,Cloud & Data Platform,-2.0387,-2.73
MACHINE LEARNING ENGINEER,SE,283200,100,M,3,Business Intelligence,-2.247,0.0068
MACHINE LEARNING ENGINEER,SE,188800,100,M,3,Business Intelligence,-1.933,0.4591
ANALYTICS ENGINEER,SE,214200,0,M,2,Cloud & Data Platform,-2.2726,-3.067
DATA ENGINEER,SE,185900,0,M,1,Senior ML Engineers,0.8585,-0.8553
DATA ENGINEER,SE,129300,0,M,1,Senior ML Engineers,1.0467,-0.5842
DATA ENGINEER,SE,252000,0,M,1,Senior ML Engineers,0.6387,-1.172
DATA ENGINEER,SE,129000,0,M,1,Senior ML Engineers,1.0477,-0.5827
DATA ANALYTICS MANAGER,MI,155000,0,M,2,Cloud & Data Platform,-1.9955,-2.4617
DATA ANALYTICS MANAGER,MI,140000,0,M,2,Cloud & Data Platform,-1.9456,-2.3898
DATA ENGINEER,SE,161800,100,M,1,Senior ML Engineers,1.017,-0.428
DATA ENGINEER,SE,141600,100,M,1,Senior ML Engineers,1.0842,-0.3312
MACHINE LEARNING ENGINEER,SE,176100,0,L,3,Business Intelligence,-1.9692,0.208
DATA ENGINEER,MI,100000,100,M,1,Senior ML Engineers,1.3027,0.1898
DATA ENGINEER,MI,70000,100,M,1,Senior ML Engineers,1.4025,0.3336
DATA ENGINEER,EN,85000,0,M,1,Senior ML Engineers,1.4347,0.5933
DATA ENGINEER,EN,65000,0,M,1,Senior ML Engineers,1.5012,0.6891
DATA SCIENTIST,SE,138784,100,M,0,Entry-Level Analysts,-0.8071,1.3359
DATA SCIENTIST,SE,83270,100,M,0,Entry-Level Analysts,-0.6225,1.6019
DATA ANALYST,EN,75000,0,M,1,Senior ML Engineers,2.6588,0.3871
DATA ANALYST,EN,70000,0,M,1,Senior ML Engineers,2.6754,0.411
DATA ANALYST,SE,204500,0,M,1,Senior ML Engineers,1.9875,-1.1985
DATA ANALYST,SE,138900,0,M,1,Senior ML Engineers,2.2056,-0.8842
MACHINE LEARNING ENGINEER,SE,212200,100,M,3,Business Intelligence,-2.0109,0.347
DATA ENGINEER,SE,95000,100,M,1,Senior ML Engineers,1.2391,-0.1079
DATA ENGINEER,SE,75000,100,M,1,Senior ML Engineers,1.3056,-0.0121
DATA SCIENTIST,SE,195000,0,M,0,Entry-Level Analysts,-1.0725,0.7547
DATA SCIENTIST,SE,160000,0,M,0,Entry-Level Analysts,-0.9561,0.9223
ANALYTICS ENGINEER,SE,230000,0,M,2,Cloud & Data Platform,-2.3251,-3.1427
ANALYTICS ENGINEER,SE,143200,0,M,2,Cloud & Data Platform,-2.0365,-2.7269
BUSINESS DATA ANALYST,MI,105000,50,L,1,Senior ML Engineers,2.4378,-0.2441
APPLIED DATA SCIENTIST,MI,20670,100,L,0,Entry-Level Analysts,-0.3341,2.2235
DATA ANALYST,MI,46178,0,M,1,Senior ML Engineers,2.5942,-0.1183
DATA ANALYST,MI,42533,0,M,1,Senior ML Engineers,2.6063,-0.1008
DATA ENGINEER,SE,145000,0,M,1,Senior ML Engineers,0.9945,-0.6594
DATA ANALYST,SE,168400,0,M,1,Senior ML Engineers,2.1075,-1.0256
DATA ANALYST,SE,105200,0,M,1,Senior ML Engineers,2.3177,-0.7228
MACHINE LEARNING ENGINEER,SE,190000,0,M,3,Business Intelligence,-2.0154,0.1414
MACHINE LEARNING ENGINEER,SE,150000,0,M,3,Business Intelligence,-1.8824,0.3331
ANALYTICS ENGINEER,SE,150000,100,M,2,Cloud & Data Platform,-1.9807,-2.4475
ANALYTICS ENGINEER,SE,120000,100,M,2,Cloud & Data Platform,-1.8809,-2.3038
DATA ENGINEER,SE,120000,0,M,1,Senior ML Engineers,1.0776,-0.5396
DATA ANALYST,SE,54685,100,M,1,Senior ML Engineers,2.564,-0.1689
DATA ANALYST,SE,42533,100,M,1,Senior ML Engineers,2.6045,-0.1106
DATA ENGINEER,SE,241000,0,M,1,Senior ML Engineers,0.6753,-1.1193
DATA ENGINEER,SE,155000,0,M,1,Senior ML Engineers,0.9612,-0.7073
DATA ENGINEER,SE,220000,100,M,1,Senior ML Engineers,0.8235,-0.7068
DATA ENGINEER,SE,190000,100,M,1,Senior ML Engineers,0.9232,-0.5631
DATA SCIENTIST,MI,66837,0,M,0,Entry-Level Analysts,-0.5661,1.6904
DATA SCIENTIST,MI,54685,0,M,0,Entry-Level Analysts,-0.5256,1.7486
STAFF DATA ANALYST,EX,15000,0,M,1,Senior ML Engineers,2.7781,0.3528
ETL ENGINEER,MI,85066,100,M,3,Business Intelligence,-0.791,-0.014
ETL ENGINEER,MI,57723,100,M,3,Business Intelligence,-0.7001,0.117
DATA ANALYST,EN,85000,100,M,1,Senior ML Engineers,2.7039,0.6511
DATA ANALYST,EN,75000,100,M,1,Senior ML Engineers,2.7372,0.699
DATA ENGINEER,SE,160000,0,M,1,Senior ML Engineers,0.9446,-0.7313
MACHINE LEARNING ENGINEER,MI,300000,0,M,3,Business Intelligence,-2.301,-0.0638
MACHINE LEARNING ENGINEER,MI,250000,0,M,3,Business Intelligence,-2.1347,0.1757
DATA SCIENTIST,SE,228000,0,M,0,Entry-Level Analysts,-1.1822,0.5966
DATA SCIENTIST,SE,186000,0,M,0,Entry-Level Analysts,-1.0425,0.7978
DATA SCIENTIST,SE,190000,0,M,0,Entry-Level Analysts,-1.0558,0.7786
RESEARCH ENGINEER,MI,230000,0,M,2,Cloud & Data Platform,-2.2449,-2.821
RESEARCH ENGINEER,MI,200000,0,M,2,Cloud & Data Platform,-2.1451,-2.6773
DATA ARCHITECT,SE,180000,100,M,3,Business Intelligence,-1.1869,-0.7905
DATA ARCHITECT,SE,115000,100,M,3,Business Intelligence,-0.9708,-0.4791
DATA ARCHITECT,SE,200000,100,M,3,Business Intelligence,-1.2535,-0.8863
DATA DEVOPS ENGINEER,SE,53654,50,S,3,Business Intelligence,-0.806,-0.3411
DATA ENGINEER,EX,220000,0,M,1,Senior ML Engineers,0.9055,-0.3753
DATA ENGINEER,EX,205000,0,M,1,Senior ML Engineers,0.9554,-0.3034
DATA ENGINEER,MI,180000,0,M,1,Senior ML Engineers,0.9583,-0.5053
DATA ENGINEER,SE,200000,100,M,1,Senior ML Engineers,0.89,-0.611
DATA ENGINEER,SE,150000,100,M,1,Senior ML Engineers,1.0562,-0.3714
COMPUTER VISION ENGINEER,SE,215000,0,M,3,Business Intelligence,-1.3817,-1.2701
COMPUTER VISION ENGINEER,SE,170000,0,M,3,Business Intelligence,-1.2321,-1.0545
MACHINE LEARNING ENGINEER,SE,247500,0,M,3,Business Intelligence,-2.2066,-0.134
MACHINE LEARNING ENGINEER,SE,172200,0,M,3,Business Intelligence,-1.9562,0.2267
DATA SCIENTIST,SE,224000,0,M,0,Entry-Level Analysts,-1.1689,0.6157
DATA SCIENTIST,SE,176000,0,M,0,Entry-Level Analysts,-1.0093,0.8457
DATA ANALYST,SE,120000,100,M,1,Senior ML Engineers,2.3469,-0.4818
DATA ANALYST,SE,75000,100,M,1,Senior ML Engineers,2.4965,-0.2662
DATA ENGINEER,EN,17022,100,L,1,Senior ML Engineers,1.7391,1.2309
APPLIED DATA SCIENTIST,SE,68318,100,M,0,Entry-Level Analysts,-0.5728,1.6735
AI DEVELOPER,MI,75020,0,M,3,Business Intelligence,-1.5529,1.014
DATA ANALYST,SE,140000,0,M,1,Senior ML Engineers,2.202,-0.8895
DATA ANALYST,SE,120000,0,M,1,Senior ML Engineers,2.2685,-0.7937
DATA ENGINEER,SE,128000,0,M,1,Senior ML Engineers,1.051,-0.5779
HEAD OF DATA,EX,269600,0,M,3,Business Intelligence,-1.4028,-0.8882
DATA QUALITY ANALYST,SE,100000,0,M,1,Senior ML Engineers,1.1511,-0.3361
DATA QUALITY ANALYST,SE,80000,0,M,1,Senior ML Engineers,1.2176,-0.2402
DATA SCIENTIST,SE,250000,0,M,0,Entry-Level Analysts,-1.2554,0.4911
DATA SCIENTIST,SE,162500,0,M,0,Entry-Level Analysts,-0.9644,0.9104
AI DEVELOPER,MI,200000,100,M,3,Business Intelligence,-1.8901,0.7272
DATA ENGINEER,SE,100000,0,M,1,Senior ML Engineers,1.1441,-0.4438
DATA ENGINEER,EX,145000,0,M,1,Senior ML Engineers,1.1549,-0.0159
DATA ENGINEER,EX,115000,0,M,1,Senior ML Engineers,1.2547,0.1278
DATA SCIENTIST,SE,203500,0,M,0,Entry-Level Analysts,-1.1007,0.7139
DATA SCIENTIST,SE,152000,0,M,0,Entry-Level Analysts,-0.9295,0.9607
DATA SCIENTIST,SE,239000,0,L,0,Entry-Level Analysts,-1.2188,0.5438
DATA SCIENTIST,SE,122900,0,L,0,Entry-Level Analysts,-0.8327,1.1001
DATA SCIENTIST,SE,237000,0,M,0,Entry-Level Analysts,-1.2121,0.5534
DATA SCIENTIST,SE,145000,0,M,0,Entry-Level Analysts,-0.9062,0.9942
DATA SCIENCE MANAGER,SE,191765,0,M,3,Business Intelligence,-1.3045,-1.1588
DATA SCIENCE MANAGER,SE,134236,0,M,3,Business Intelligence,-1.1132,-0.8832
ANALYTICS ENGINEER,SE,190000,100,M,2,Cloud & Data Platform,-2.1137,-2.6392
ANALYTICS ENGINEER,SE,112000,100,M,2,Cloud & Data Platform,-1.8543,-2.2655
DATA SCIENTIST,SE,88256,100,L,0,Entry-Level Analysts,-0.6391,1.578
DATA ANALYST,SE,135000,0,M,1,Senior ML Engineers,2.2186,-0.8656
DATA ANALYST,SE,105500,0,M,1,Senior ML Engineers,2.3167,-0.7242
RESEARCH ENGINEER,SE,293000,0,M,2,Cloud & Data Platform,-2.5346,-3.4446
RESEARCH ENGINEER,SE,185000,0,M,2,Cloud & Data Platform,-2.1755,-2.9271
DATA ANALYST,SE,80000,0,M,1,Senior ML Engineers,2.4015,-0.6021
DATA ANALYST,SE,70000,0,M,1,Senior ML Engineers,2.4347,-0.5541
DATA ENGINEER,SE,160000,100,M,1,Senior ML Engineers,1.023,-0.4193
DATA SCIENTIST,SE,175000,100,M,0,Entry-Level Analysts,-0.9276,1.1624
DATA SCIENTIST,SE,145000,100,M,0,Entry-Level Analysts,-0.8278,1.3061
DATA ANALYST,SE,200000,0,M,1,Senior ML Engineers,2.0024,-1.177
DATA ANALYST,SE,148500,0,M,1,Senior ML Engineers,2.1737,-0.9302
DATA ENGINEER,SE,240500,0,L,1,Senior ML Engineers,0.6769,-1.1169
DATA ENGINEER,SE,123700,0,L,1,Senior ML Engineers,1.0653,-0.5573
ANALYTICS ENGINEER,SE,152900,100,M,2,Cloud & Data Platform,-1.9903,-2.4614
ANALYTICS ENGINEER,SE,117100,100,M,2,Cloud & Data Platform,-1.8713,-2.2899
ANALYTICS ENGINEER,SE,173000,100,M,2,Cloud & Data Platform,-2.0572,-2.5577
ANALYTICS ENGINEER,SE,113000,100,M,2,Cloud & Data Platform,-1.8577,-2.2703
APPLIED SCIENTIST,SE,260000,0,L,3,Business Intelligence,-1.5314,-1.4857
DATA ENGINEER,EX,175000,0,M,1,Senior ML Engineers,1.0552,-0.1597
DATA ENGINEER,EX,110000,0,M,1,Senior ML Engineers,1.2713,0.1518
RESEARCH SCIENTIST,SE,130000,100,M,2,Cloud & Data Platform,-1.9142,-2.3517
RESEARCH SCIENTIST,SE,110000,100,M,2,Cloud & Data Platform,-1.8477,-2.2559
APPLIED SCIENTIST,SE,205000,100,M,3,Business Intelligence,-1.2701,-0.9103
APPLIED SCIENTIST,SE,184000,100,M,3,Business Intelligence,-1.2002,-0.8097
DATA ANALYST,SE,149500,100,M,1,Senior ML Engineers,2.2488,-0.6231
DATA ANALYST,SE,127075,100,M,1,Senior ML Engineers,2.3233,-0.5157
DATA ENGINEER,SE,219535,100,M,1,Senior ML Engineers,0.825,-0.7046
DATA ENGINEER,SE,146115,100,M,1,Senior ML Engineers,1.0692,-0.3528
DATA SCIENTIST,SE,135000,0,M,0,Entry-Level Analysts,-0.8729,1.0421
DATA SCIENTIST,SE,199000,0,M,0,Entry-Level Analysts,-1.0858,0.7355
DATA SCIENTIST,SE,162000,0,M,0,Entry-Level Analysts,-0.9627,0.9128
ANALYTICS ENGINEER,EX,221000,100,M,2,Cloud & Data Platform,-2.0563,-2.1442
ANALYTICS ENGINEER,EX,153000,100,M,2,Cloud & Data Platform,-1.8302,-1.8185
DATA ANALYST,SE,187000,0,M,1,Senior ML Engineers,2.0457,-1.1147
DATA ANALYST,SE,128000,0,M,1,Senior ML Engineers,2.2419,-0.832
RESEARCH SCIENTIST,SE,210000,0,M,2,Cloud & Data Platform,-2.2586,-3.0469
RESEARCH SCIENTIST,SE,136000,0,M,2,Cloud & Data Platform,-2.0125,-2.6924
DATA SCIENTIST,SE,100000,100,M,0,Entry-Level Analysts,-0.6782,1.5217
DATA ENGINEER,SE,179000,0,M,1,Senior ML Engineers,0.8814,-0.8223
DATA ENGINEER,SE,109000,0,M,1,Senior ML Engineers,1.1142,-0.4869
DATA SCIENTIST,SE,245000,0,M,0,Entry-Level Analysts,-1.2387,0.5151
DATA SCIENTIST,SE,180000,0,M,0,Entry-Level Analysts,-1.0226,0.8265
DATA ANALYST,SE,142000,100,M,1,Senior ML Engineers,2.2737,-0.5872
DATA MANAGER,SE,198800,0,M,3,Business Intelligence,-1.3279,-1.1925
DATA MANAGER,SE,105200,0,M,3,Business Intelligence,-1.0166,-0.7441
DATA ANALYST,SE,125000,100,M,1,Senior ML Engineers,2.3302,-0.5057
DATA ANALYST,SE,112000,100,M,1,Senior ML Engineers,2.3735,-0.4435
DATA SCIENTIST,SE,210000,0,M,0,Entry-Level Analysts,-1.1223,0.6828
DATA SCIENTIST,SE,155000,0,M,0,Entry-Level Analysts,-0.9394,0.9463
DATA MANAGER,SE,115000,100,M,3,Business Intelligence,-0.9708,-0.4791
DATA MANAGER,SE,86000,100,M,3,Business Intelligence,-0.8744,-0.3402
DATA SCIENTIST,SE,165000,0,M,0,Entry-Level Analysts,-0.9727,0.8984
DATA SCIENTIST,SE,140000,0,M,0,Entry-Level Analysts,-0.8896,1.0182
DATA ANALYST,SE,139000,0,M,1,Senior ML Engineers,2.2053,-0.8847
DATA ANALYST,SE,106000,0,M,1,Senior ML Engineers,2.315,-0.7266
DATA ANALYST,EN,40663,0,L,1,Senior ML Engineers,2.773,0.5516
AI DEVELOPER,SE,275000,0,S,3,Business Intelligence,-2.2981,-0.2658
MACHINE LEARNING RESEARCHER,SE,50000,50,S,2,Cloud & Data Platform,-2.4042,-0.8326
MACHINE LEARNING ENGINEER,MI,280700,100,M,3,Business Intelligence,-2.1584,0.3405
MACHINE LEARNING ENGINEER,MI,150450,100,M,3,Business Intelligence,-1.7253,0.9646
DATA SCIENTIST,EN,51753,100,L,0,Entry-Level Analysts,-0.2771,2.7181
DATA ARCHITECT,SE,250500,0,M,3,Business Intelligence,-1.4998,-1.4402
DATA ARCHITECT,SE,159500,0,M,3,Business Intelligence,-1.1972,-1.0042
DATA SCIENTIST,EN,130001,100,M,0,Entry-Level Analysts,-0.5373,2.3432
DATA SCIENTIST,EN,71907,100,M,0,Entry-Level Analysts,-0.3441,2.6215
DATA SCIENTIST,MI,93918,100,M,0,Entry-Level Analysts,-0.5777,1.8726
DATA SCIENTIST,MI,51962,100,M,0,Entry-Level Analysts,-0.4382,2.0736
DATA ANALYST,SE,175000,100,M,1,Senior ML Engineers,2.164,-0.7453
DATA ANALYST,SE,135000,100,M,1,Senior ML Engineers,2.297,-0.5536
MACHINE LEARNING ENGINEER,SE,257000,0,M,3,Business Intelligence,-2.2382,-0.1796
MACHINE LEARNING ENGINEER,SE,147000,0,M,3,Business Intelligence,-1.8724,0.3475
DATA ENGINEER,SE,222000,100,M,1,Senior ML Engineers,0.8168,-0.7164
DATA SCIENTIST,SE,203000,100,M,0,Entry-Level Analysts,-1.0207,1.0282
DATA SCIENTIST,SE,133200,100,M,0,Entry-Level Analysts,-0.7886,1.3627
DATA ENGINEER,SE,221000,0,M,1,Senior ML Engineers,0.7418,-1.0235
DATA ENGINEER,SE,147000,0,M,1,Senior ML Engineers,0.9878,-0.669
DATA SCIENTIST,SE,185900,0,M,0,Entry-Level Analysts,-1.0422,0.7983
DATA SCIENTIST,SE,129300,0,M,0,Entry-Level Analysts,-0.854,1.0694
DATA SCIENTIST,SE,238000,100,M,0,Entry-Level Analysts,-1.1371,0.8606
DATA SCIENTIST,SE,156000,100,M,0,Entry-Level Analysts,-0.8644,1.2534
MACHINE LEARNING ENGINEER,SE,304000,100,M,3,Business Intelligence,-2.3161,-0.0928
MACHINE LEARNING ENGINEER,SE,199000,100,M,3,Business Intelligence,-1.967,0.4102
BIG DATA ENGINEER,MI,48289,100,M,1,Senior ML Engineers,2.6655,0.1835
DATA ENGINEER,SE,150000,0,M,1,Senior ML Engineers,0.9779,-0.6833
DATA ENGINEER,SE,130000,0,M,1,Senior ML Engineers,1.0444,-0.5875
DATA SCIENTIST,SE,140000,100,M,0,Entry-Level Analysts,-0.8112,1.3301
DATA SCIENTIST,SE,110000,100,M,0,Entry-Level Analysts,-0.7114,1.4738
